Year,Investment_Yield,Disc_Rate
1, 0.0600 , 0.0400 
2, 0.0600 , 0.0400 
3, 0.0600 , 0.0400 
4, 0.0600 , 0.0400 
5, 0.0600 , 0.0400 
6, 0.0600 , 0.0400 
7, 0.0600 , 0.0400 
8, 0.0600 , 0.0400 
9, 0.0600 , 0.0400 
10, 0.0600 , 0.0400 
11, 0.0600 , 0.0400 
12, 0.0600 , 0.0400 
13, 0.0600 , 0.0400 
14, 0.0600 , 0.0400 
15, 0.0600 , 0.0400 
16, 0.0600 , 0.0400 
17, 0.0600 , 0.0400 
18, 0.0600 , 0.0400 
19, 0.0600 , 0.0400 
20, 0.0600 , 0.0400 
21, 0.0600 , 0.0400 
22, 0.0600 , 0.0400 
23, 0.0600 , 0.0400 
24, 0.0600 , 0.0400 
25, 0.0600 , 0.0400 
26, 0.0600 , 0.0400 
27, 0.0600 , 0.0400 
28, 0.0600 , 0.0400 
29, 0.0600 , 0.0400 
30, 0.0600 , 0.0400 
31, 0.0600 , 0.0400 
32, 0.0600 , 0.0400 
33, 0.0600 , 0.0400 
34, 0.0600 , 0.0400 
35, 0.0600 , 0.0400 
36, 0.0600 , 0.0400 
37, 0.0600 , 0.0400 
38, 0.0600 , 0.0400 
39, 0.0600 , 0.0400 
40, 0.0600 , 0.0400 
41, 0.0600 , 0.0400 
42, 0.0600 , 0.0400 
43, 0.0600 , 0.0400 
44, 0.0600 , 0.0400 
45, 0.0600 , 0.0400 
46, 0.0600 , 0.0400 
47, 0.0600 , 0.0400 
48, 0.0600 , 0.0400 
49, 0.0600 , 0.0400 
50, 0.0600 , 0.0400 
51, 0.0600 , 0.0400 
52, 0.0600 , 0.0400 
53, 0.0600 , 0.0400 
54, 0.0600 , 0.0400 
55, 0.0600 , 0.0400 
