Year,lapse
1, 0.1200 
2, 0.1000 
3, 0.0800 
4, 0.0800 
5, 0.0800 
6, 0.0800 
7, 0.0800 
8, 0.0800 
9, 0.0800 
10, 0.0800 
11, 0.0800 
12, 0.0800 
13, 0.0800 
14, 0.0800 
15, 0.0800 
16, 0.0800 
17, 0.0800 
18, 0.0800 
19, 0.0800 
20, 0.0800 
21, 0.0800 
22, 0.0800 
23, 0.0800 
24, 0.0800 
25, 0.0800 
26, 0.0800 
27, 0.0800 
28, 0.0800 
29, 0.0800 
30, 0.0800 
31, 0.0800 
32, 0.0800 
33, 0.0800 
34, 0.0800 
35, 0.0800 
36, 0.0800 
37, 0.0800 
38, 0.0800 
39, 0.0800 
40, 0.0800 
41, 0.0800 
42, 0.0800 
43, 0.0800 
44, 0.0800 
45, 0.0800 
46, 0.0800 
47, 0.0800 
48, 0.0800 
49, 0.0800 
50, 0.0800 
51, 0.0800 
52, 0.0800 
53, 0.0800 
54, 0.0800 
55, 0.0800 
