,Premium_Tax
1, 0.0350 
2, 0.0350 
3, 0.0350 
4, 0.0350 
5, 0.0350 
6, 0.0350 
7, 0.0350 
8, 0.0350 
9, 0.0350 
10, 0.0350 
11, 0.0350 
12, 0.0350 
13, 0.0350 
14, 0.0350 
15, 0.0350 
16, 0.0350 
17, 0.0350 
18, 0.0350 
19, 0.0350 
20, 0.0350 
21, 0.0350 
22, 0.0350 
23, 0.0350 
24, 0.0350 
25, 0.0350 
26, 0.0350 
27, 0.0350 
28, 0.0350 
29, 0.0350 
30, 0.0350 
31, 0.0350 
32, 0.0350 
33, 0.0350 
34, 0.0350 
35, 0.0350 
36, 0.0350 
37, 0.0350 
38, 0.0350 
39, 0.0350 
40, 0.0350 
41, 0.0350 
42, 0.0350 
43, 0.0350 
44, 0.0350 
45, 0.0350 
46, 0.0350 
47, 0.0350 
48, 0.0350 
49, 0.0350 
50, 0.0350 
51, 0.0350 
52, 0.0350 
53, 0.0350 
54, 0.0350 
55, 0.0350 
