variable,calc_order,cycle,calc_direction,type,runtime
sum_assured_pp,1,False,0,default,0.0
pol_term,2,False,0,constant,0.0
premium_pp,3,False,0,default,0.0
duration,4,False,0,default,0.0
surr_val_pp,5,False,0,default,0.0
acq_exp_per_pol,6,False,0,default,0.0
acq_perc_prem,7,False,0,default,0.0
age,8,False,0,default,0.0
claim_pp,9,False,0,default,0.0
lapse_rate,10,False,0,default,0.0
coc_rate,11,False,0,default,0.0
comm_rate,12,False,0,default,0.0
disc_rate,13,False,0,default,0.0
maint_exp_per_pol,14,False,0,default,0.0
maint_perc_prem,15,False,0,default,0.0
prem_tax_rate,16,False,0,default,0.0
ra_perc_av,17,False,0,default,0.0
ra_rate,18,False,0,default,0.0
ra_perc_prem,19,False,0,default,0.0
acq_exp_pp,20,False,0,default,0.0
mort_rate,21,False,0,default,0.014530181884765625
comm_pp,22,False,0,default,0.0
maint_exp_pp,23,False,0,default,0.0
prem_tax_pp,24,False,0,default,0.0
pols_if,25,False,1,default,0.0
AV_if,26,False,0,default,0.0
SA_if,27,False,0,default,0.0
be_acq_exp,28,False,0,default,0.0
be_claim,29,False,0,default,0.0
be_comm,30,False,0,default,0.0
be_maint_exp,31,False,0,default,0.0
be_prem_tax,32,False,0,default,0.0
be_premium,33,False,0,default,0.0
be_surr_val,34,False,0,default,0.0
pv_pol_if,35,False,-1,default,0.0
ra,36,False,0,default,0.0010175704956054688
new_dac,37,False,0,default,0.0
pv_acq_exp,38,False,-1,default,0.0
pv_premium,39,False,-1,default,0.0
pv_surr_ben,40,False,-1,default,0.0
pv_maint_exp,41,False,-1,default,0.0
pv_comm,42,False,-1,default,0.0
pv_claim,43,False,-1,default,0.0
pv_prem_tax,44,False,-1,default,0.0
coc_ra,45,False,0,default,0.0
pv_cf,46,False,0,default,0.0
dac_alloc_fact,47,False,1,default,0.0
dac_unwind,48,False,0,default,0.0
pv_coc_ra,49,False,-1,default,0.0
dac_alloc,50,False,0,default,0.0
pv_cf_unwind,51,False,0,default,0.0009875297546386719
csm,52,True,1,default,0.0
csm_alloc,52,True,1,default,0.0
csm_unwind,52,True,1,default,0.0
k_factor,52,True,1,constant,0.0
