t,code,sum_assured_pp,pol_term,premium_pp,duration,surr_val_pp,acq_exp_per_pol,acq_perc_prem,age,claim_pp,lapse_rate,coc_rate,comm_rate,disc_rate,maint_exp_per_pol,maint_perc_prem,prem_tax_rate,ra_perc_av,ra_rate,ra_perc_prem,acq_exp_pp,mort_rate,comm_pp,maint_exp_pp,prem_tax_pp,pols_if,AV_if,SA_if,be_acq_exp,be_claim,be_comm,be_maint_exp,be_prem_tax,be_premium,be_surr_val,pv_pol_if,ra,new_dac,pv_acq_exp,pv_premium,pv_surr_ben,pv_maint_exp,pv_comm,pv_claim,pv_prem_tax,coc_ra,pv_cf,dac_alloc_fact,dac_unwind,pv_coc_ra,dac_alloc,pv_cf_unwind,csm,csm_alloc,csm_unwind,k_factor
0,A,100000.0,55.0,2000.0,0.0,0.0,0.0,0.0,34.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0005,0.06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.806525186099723,0.0,0.0,0.0,15613.03764667407,6508.691517130174,0.0,1838.0452307692308,4848.3126548165765,0.0,0.0,-2417.9882439580906,0.0,0.0,0.0,0.0,0.0,0.0,116.71496542754997,0.0,116.71496542754997
1,A,100000.0,55.0,2000.0,1.0,0.0,100.0,0.0,35.0,100000.0,0.12,0.06,0.75,0.04,35.0,0.05,0.035,0.02,0.0005,0.06,100.0,0.00123,1500.0,135.0,70.0,0.8789176000000001,0.0,87891.76000000001,100.0,123.0,1500.0,135.0,70.0,2000.0,0.0,6.806525186099723,170.0,1600.0,100.0,15613.03764667407,6508.691517130174,815.6518823337036,1838.0452307692308,4848.3126548165765,546.4563176335926,10.2,-955.8800439907936,235.06854911335932,64.0,161.45669221341635,206.60588502219593,-30.435201759631745,794.4233517773773,102.58283729766521,31.776934071095095,116.71496542754997
2,A,100000.0,55.0,2000.0,2.0,29.0,0.0,0.0,36.0,100000.0,0.1,0.06,0.2,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.00181,400.0,100.0,70.0,0.7895940832296,22.8982284136584,78959.40832296001,0.0,159.0840856,351.56704,87.89176,61.524232000000005,1757.8352000000002,2.5488610400000002,6.1998685935437114,149.41599200000002,351.56704,0.0,14157.559152541035,6769.039177815382,707.8779576270517,351.56704,4919.245161009239,495.5145703389362,8.96495952,-914.3152457504257,291.77411225482774,14.062681600000001,157.71495990195302,230.38311267598112,13.701476889982983,723.6174485508072,92.15744612594078,28.944697942032292,116.71496542754997
3,A,100000.0,55.0,2000.0,3.0,1692.0,0.0,0.0,37.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.00239,0.0,100.0,70.0,0.7246903971010268,1226.1761518949372,72469.03971010268,0.0,188.71298589187444,0.0,78.95940832296,55.271585826072,1579.1881664592,106.87945510595866,5.65826925405586,134.68895871730516,0.0,0.0,12895.712910642676,7037.251883887998,644.7856455321338,0.0,4956.930881849608,451.3499518724937,8.081337523038309,194.60545249955612,291.77411225482774,0.0,155.05859877803115,211.4458972737507,65.58250499238896,660.4047003668987,84.5822146433238,26.41618801467595,116.71496542754997
4,A,100000.0,55.0,2000.0,4.0,3386.0,0.0,0.0,38.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.00285,0.0,100.0,70.0,0.6648150271117458,2251.0636818003713,66481.50271117457,0.0,206.53676317379262,0.0,72.46903971010268,50.72832779707188,1449.3807942020535,196.30413476672612,5.1599096271170675,147.72089054507327,0.0,0.0,11769.185733950815,7211.862504137559,588.4592866975407,0.0,4966.495131231719,411.92150068827857,8.863253432704395,1409.5526888042823,291.77411225482774,0.0,153.1796052061141,193.97581434919886,109.42944461996646,602.2386737382509,77.5938629050631,24.089546949530035,116.71496542754997
5,A,100000.0,55.0,2000.0,5.0,5135.0,0.0,0.0,39.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.00324,0.0,100.0,70.0,0.6096481443099914,3130.543221031806,60964.81443099914,0.0,215.40006878420562,0.0,66.48150271117458,46.5370518978222,1329.6300542234915,273.10601313750516,4.701490985090005,158.0398282450042,0.0,0.0,10732.597137338713,7304.032869536336,536.6298568669356,0.0,4958.618173307195,375.640899806855,9.482389694700252,2442.3246621786075,291.77411225482774,0.0,150.44353598165426,177.87954609385085,146.3574464717241,548.7343577827178,71.15506208611063,21.949374311308713,116.71496542754997
6,A,100000.0,55.0,2000.0,6.0,6911.0,0.0,0.0,40.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.00361,0.0,100.0,70.0,0.5588515293483097,3862.2229193261687,55885.15293483097,0.0,220.0829800959069,0.0,60.964814430999134,42.67537010169939,1219.2962886199828,337.06226602610803,4.279902480183614,166.25104895333465,0.0,0.0,9779.08576643983,7323.088171180284,488.9542883219914,0.0,4941.562831455278,342.2680018253941,9.975062937200079,3316.787526343118,291.77411225482774,0.0,146.9788877262202,163.05840885785588,177.29774521721606,499.5286700079158,65.22633692702139,19.981146800316633,116.71496542754997
7,A,100000.0,55.0,2000.0,7.0,8704.0,0.0,0.0,41.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.00398,0.0,100.0,70.0,0.5120971162405832,4457.293299758036,51209.71162405832,0.0,222.42290868062727,0.0,55.88515293483097,39.11960705438168,1117.7030586966196,389.139496915815,3.8922470500426485,172.24921837573604,0.0,0.0,8902.181056932643,7278.949432001387,445.109052846632,0.0,4919.142364617582,311.5763369926425,10.334953102544162,4052.5961295256,291.77411225482774,0.0,142.88298029806893,149.41668147935349,203.01177712932025,454.28347988121106,59.76939721756771,18.171339195248443,116.71496542754997
8,A,100000.0,55.0,2000.0,8.0,10545.0,0.0,0.0,42.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.00434,0.0,100.0,70.0,0.4690846455756112,4946.49758759482,46908.46455756112,0.0,222.2501484484131,0.0,51.209711624058315,35.846798136840825,1024.1942324811664,432.005127260556,3.535839815803772,176.20237575605987,0.0,0.0,8095.857118165463,7180.967912365628,404.79285590827305,0.0,4893.485150521658,283.3549991357913,10.572142545363592,4666.743799765888,291.77411225482774,0.0,138.26334640744756,136.86675603519447,224.15526089944618,412.6854218588918,54.749198190951994,16.507416874355673,116.71496542754997
9,A,100000.0,55.0,2000.0,9.0,12430.0,0.0,0.0,43.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.00477,0.0,100.0,70.0,0.4294993428709183,5338.676831885515,42949.934287091826,0.0,223.75337593956655,0.0,46.90846455756112,32.835925190292784,938.1692911512224,466.45777156038776,3.2081887628603116,178.6743414997503,0.0,0.0,7354.529401111669,7036.201501599698,367.7264700555833,0.0,4866.974408094112,257.40852903890845,10.720460489985019,5173.781507676633,291.77411225482774,0.0,133.2217377183819,125.31678948019406,241.28825636320005,374.4436405422955,50.12900095433466,14.97774562169182,116.71496542754997
