t,code,sum_assured_pp,pol_term,premium_pp,duration,surr_val_pp,acq_exp_per_pol,acq_perc_prem,age,claim_pp,lapse_rate,coc_rate,comm_rate,disc_rate,maint_exp_per_pol,maint_perc_prem,prem_tax_rate,ra_perc_av,ra_rate,ra_perc_prem,acq_exp_pp,mort_rate,comm_pp,maint_exp_pp,prem_tax_pp,pols_if,AV_if,SA_if,be_acq_exp,be_claim,be_comm,be_maint_exp,be_prem_tax,be_premium,be_surr_val,pv_pol_if,ra,new_dac,pv_acq_exp,pv_premium,pv_surr_ben,pv_maint_exp,pv_comm,pv_claim,pv_prem_tax,coc_ra,pv_cf,dac_alloc_fact,dac_unwind,pv_coc_ra,dac_alloc,pv_cf_unwind,csm,csm_alloc,csm_unwind,k_factor
0,A,100000.0,55.0,2307.92236328125,0.0,0.0,0.0,0.0,34.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0005,0.06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.806525186099723,0.0,0.0,0.0,18016.839371755574,6508.691517130174,0.0,2121.032846407377,4848.3126548165765,0.0,0.0,-4538.802353401446,0.0,0.0,0.0,0.0,0.0,0.0,397.05920254034424,0.0,397.05920254034424
1,A,100000.0,55.0,2307.92236328125,1.0,0.0,100.0,0.0,35.0,100000.0,0.12,0.06,0.75,0.04,35.0,0.05,0.035,0.02,0.0005,0.06,100.0,0.00123,1730.9417724609375,150.3961181640625,80.77728271484376,0.8789176000000001,0.0,87891.76000000001,100.0,123.0,1730.9417724609375,150.3961181640625,80.77728271484376,2307.92236328125,0.0,6.806525186099723,188.475341796875,1830.9417724609375,100.0,18016.839371755574,6508.691517130174,935.8419685877788,2121.032846407377,4848.3126548165765,630.589378011445,11.3085205078125,-2872.371006802223,268.99801622714693,73.2376708984375,169.77754433869853,236.42709082712506,-105.06255267443267,2702.5934624635242,348.9823213546733,108.10373849854098,397.05920254034424
2,A,100000.0,55.0,2307.92236328125,2.0,29.0,0.0,0.0,36.0,100000.0,0.1,0.06,0.2,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.00181,461.58447265625,115.3961181640625,80.77728271484376,0.7895940832296,22.8982284136584,78959.40832296001,0.0,159.0840856,405.6947169042969,101.42367922607423,70.99657545825197,2028.4735845214846,2.5488610400000002,6.1998685935437114,165.65429507128908,405.6947169042969,0.0,16337.273688813297,6769.039177815382,816.8636844406649,405.6947169042969,4919.245161009239,571.8045791084653,9.939257704277345,-2854.62636953525,334.4340348754729,16.227788676171876,165.260125604434,264.0671351682751,-56.17071026409554,2461.714879607392,313.5155970177192,98.46859518429568,397.05920254034424
3,A,100000.0,55.0,2307.92236328125,3.0,1692.0,0.0,0.0,37.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.00239,0.0,115.3961181640625,80.77728271484376,0.7246903971010268,1226.1761518949372,72469.03971010268,0.0,188.71298589187444,0.0,91.11609213000752,63.781264491005274,1822.3218426001504,106.87945510595866,5.65826925405586,149.2769792857622,0.0,0.0,14881.152108463484,7037.251883887998,744.0576054231743,0.0,4956.930881849608,520.8403237962219,8.956618757145732,-1622.071413506481,334.4340348754729,0.0,161.93127292433402,242.36113353800508,1.8141228989062672,2246.6678777739685,287.7449911615791,89.86671511095874,397.05920254034424
4,A,100000.0,55.0,2307.92236328125,4.0,3386.0,0.0,0.0,38.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.00285,0.0,115.3961181640625,80.77728271484376,0.6648150271117458,2251.0636818003713,66481.50271117457,0.0,206.53676317379262,0.0,83.62645869623147,58.538521087362035,1672.5291739246293,196.30413476672612,5.1599096271170675,161.10979332842783,0.0,0.0,13581.183476497867,7211.862504137559,679.0591738248935,0.0,4966.495131231719,475.3414216774254,9.66658759970567,-248.42524562626932,334.4340348754729,0.0,159.45190508416167,222.33677196282804,51.277557940590654,2048.7896017233484,263.97092450182714,81.95158406893394,397.05920254034424
5,A,100000.0,55.0,2307.92236328125,5.0,5135.0,0.0,0.0,39.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.00324,0.0,115.3961181640625,80.77728271484376,0.6096481443099914,3130.543221031806,60964.81443099914,0.0,215.40006878420562,0.0,76.71707342583143,53.70195139808201,1534.3414685166285,273.10601313750516,4.701490985090005,170.32251310259244,0.0,0.0,12385.000474676168,7304.032869536336,619.2500237338086,0.0,4958.618173307195,433.4750166136659,10.219350786155546,930.3756085148361,334.4340348754729,0.0,156.16339368782246,203.88708875593497,93.37192208830204,1866.7702612904554,242.06640600992588,74.67081045161822,397.05920254034424
6,A,100000.0,55.0,2307.92236328125,6.0,6911.0,0.0,0.0,40.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.00361,0.0,115.3961181640625,80.77728271484376,0.5588515293483097,3862.2229193261687,55885.15293483097,0.0,220.0829800959069,0.0,70.3510292992972,49.24572050950804,1407.0205859859439,337.06226602610803,4.279902480183614,177.5145067952923,0.0,0.0,11284.685366405922,7323.088171180284,564.2342683202962,0.0,4941.562831455278,394.96398782420727,10.650870407717537,1939.163892374143,334.4340348754729,0.0,152.1905786491798,186.89897185628396,129.06350914205126,1699.3746657321478,221.89714258149164,67.97498662928591,397.05920254034424
7,A,100000.0,55.0,2307.92236328125,7.0,8704.0,0.0,0.0,41.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.00398,0.0,115.3961181640625,80.77728271484376,0.5120971162405832,4457.293299758036,51209.71162405832,0.0,222.42290868062727,0.0,64.4892971168446,45.14250798179122,1289.7859423368918,389.139496915815,3.8922470500426485,182.57419139415236,0.0,0.0,10272.771371636778,7278.949432001387,513.638568581839,0.0,4919.142364617582,359.54699800728724,10.954451483649141,2798.5059915713173,334.4340348754729,0.0,147.62733138742945,171.2627048324323,159.14640515238293,1545.4525097799421,203.33287259769594,61.81810039119769,397.05920254034424
8,A,100000.0,55.0,2307.92236328125,8.0,10545.0,0.0,0.0,42.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.00434,0.0,115.3961181640625,80.77728271484376,0.4690846455756112,4946.49758759482,46908.46455756112,0.0,222.2501484484131,0.0,59.09401933717399,41.3658135360218,1181.8803867434797,432.005127260556,3.535839815803772,185.66354501179865,0.0,0.0,9342.304846471881,7180.967912365628,467.1152423235942,0.0,4893.485150521658,326.9806696265159,11.139812700707918,3526.2441283655153,334.4340348754729,0.0,142.5779731592775,156.8778707179828,184.30658728943195,1403.9377375734439,186.25437529617219,56.15750950293776,397.05920254034424
9,A,100000.0,55.0,2307.92236328125,9.0,12430.0,0.0,0.0,43.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.00477,0.0,115.3961181640625,80.77728271484376,0.4294993428709183,5338.676831885515,42949.934287091826,0.0,223.75337593956655,0.0,54.130547189790605,37.89138303285343,1082.610943795812,466.45777156038776,3.2081887628603116,187.3408406584257,0.0,0.0,8486.841438117539,7036.201501599698,424.342071905877,0.0,4866.974408094112,297.0394503341139,11.24045043950554,4137.715993816262,334.4340348754729,0.0,137.14127938494067,143.6391982126854,205.1322002955772,1273.8408717802095,170.5366665719287,50.95363487120838,397.05920254034424
10,A,100000.0,55.0,2307.92236328125,10.0,14357.0,0.0,0.0,44.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.00535,0.0,115.3961181640625,80.77728271484376,0.39302539967563416,5642.66566314308,39302.53996756342,0.0,229.78214843594125,0.0,49.56255692131968,34.693789844923785,991.2511384263936,493.3057652478219,2.907016970503806,187.72357208683982,0.0,0.0,7700.399714094598,6851.1917901032975,385.01998570472983,0.0,4837.90000847831,269.51398999331093,11.26341432521039,4643.22606018505,334.4340348754729,0.0,131.38648012083277,131.4410702220677,222.008834073808,1154.2578400794891,156.05435177330736,46.170313603179565,397.05920254034424
11,A,100000.0,55.0,2307.92236328125,11.0,16236.0,0.0,0.0,45.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.00615,0.0,115.3961181640625,80.77728271484376,0.3593596299902187,5834.562952521191,35935.96299902187,0.0,241.71062080051502,0.0,45.35360546244737,31.747523823713166,907.0721092489474,510.4928311306877,2.630272249648324,186.92890980158012,0.0,0.0,6977.514518694932,6631.933696459608,348.8757259347466,0.0,4801.633860381502,244.21300815432267,11.215734588094806,5049.141772235247,334.4340348754729,0.0,125.37852500045572,120.18209102898584,235.16451008792137,1044.3738019093612,142.6870481091094,41.77495207637445,397.05920254034424
12,A,100000.0,55.0,2307.92236328125,12.0,18145.0,0.0,0.0,46.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.00706,0.0,115.3961181640625,80.77728271484376,0.32827674692228875,5956.581572904929,32827.67469222887,0.0,253.7078987730944,0.0,41.46870632574505,29.028094428021543,829.3741265149011,521.6464388938015,2.3761235096440383,184.42168814082882,0.0,0.0,6313.260105823824,6386.718213187305,315.6630052911912,0.0,4751.988593996247,220.9641037038339,11.065301288449728,5362.073810354753,334.4340348754729,0.0,119.17793141237914,109.7869170290155,244.8380454446355,943.4617058766262,130.34530334550237,37.73846823506505,397.05920254034424
13,A,100000.0,55.0,2307.92236328125,13.0,20087.0,0.0,0.0,47.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.00816,0.0,115.3961181640625,80.77728271484376,0.2995501679740107,6017.064224093952,29955.01679740107,0.0,267.8738254885876,0.0,37.881862278358476,26.517303594850937,757.6372455671694,527.5276012342412,2.142891703107511,181.0037035382432,0.0,0.0,5703.241418481281,6120.540502820996,285.162070924064,0.0,4688.360238983002,199.61344964684486,10.860222212294591,5590.434843893627,334.4340348754729,0.0,112.87974738042458,100.17977132317405,251.3469169435035,850.8548707661889,118.93915081658685,34.03419483064756,397.05920254034424
14,A,100000.0,55.0,2307.92236328125,14.0,22062.0,0.0,0.0,48.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.0093,0.0,115.3961181640625,80.77728271484376,0.27302320329890417,6023.437911180424,27302.320329890415,0.0,278.5816562158299,0.0,34.566926579593705,24.196848605715598,691.3385315918741,528.6940644674099,1.9290572032578006,176.799104776092,0.0,0.0,5143.428339830675,5837.834521699595,257.17141699153376,0.0,4608.020823053735,180.01999189407368,10.60794628656552,5739.618413808262,334.4340348754729,0.0,106.53471506334698,91.30825149387904,254.88772680859304,765.9499147802496,108.40637537687317,30.637996591209987,397.05920254034424
15,A,100000.0,55.0,2307.92236328125,15.0,24071.0,0.0,0.0,49.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.01049,0.0,115.3961181640625,80.77728271484376,0.2485464547045948,5982.761711194302,24854.64547045948,0.0,286.40134026055046,0.0,31.505817829411203,22.05407248058785,630.1163565882241,525.7553221286338,1.7331962880892084,171.92689978384715,0.0,0.0,4630.173400568354,5542.653838100169,231.50867002841767,0.0,4513.759999760055,162.05606901989242,10.315613987030828,5819.80517634018,334.4340348754729,0.0,100.18815737931534,83.1223937008516,255.8544657047362,688.1815359945865,98.6876570992362,27.527261439783462,397.05920254034424
16,A,100000.0,55.0,2307.92236328125,16.0,26111.0,0.0,0.0,50.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.01253,0.0,115.3961181640625,80.77728271484376,0.2257975942169745,5895.800982599421,22579.75942169745,0.0,311.42870774485726,0.0,28.68129605635023,20.076907239445163,573.6259211270046,519.183718303334,1.553977684908182,166.50011222673606,0.0,0.0,4160.059325739335,5238.604669495543,208.00296628696674,0.0,4407.909059489906,145.60207640087677,9.990006733604163,5840.059445933958,334.4340348754729,0.0,93.88006968745714,75.51440049915753,254.5970865506067,617.0211403351339,89.65501269532014,24.680845613405353,397.05920254034424
17,A,100000.0,55.0,2307.92236328125,17.0,28177.0,0.0,0.0,51.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.01387,0.0,115.3961181640625,80.77728271484376,0.20485251905837026,5772.129429507699,20485.251905837027,0.0,313.18126317894365,0.0,26.056165863423026,18.23931610439612,521.1233172684605,508.98390498013526,1.3903391980875348,160.4732983989448,0.0,0.0,3729.890740796823,4928.965137972031,186.4945370398412,0.0,4272.796714124645,130.54617592788887,9.628397903936687,5788.911824267581,334.4340348754729,0.0,87.64526574135127,68.50965450309548,250.6295863827289,552.0469732532191,81.33857785569717,22.081878930128763,397.05920254034424
18,A,100000.0,55.0,2307.92236328125,18.0,30264.0,0.0,0.0,52.0,100000.0,0.08,0.06,0.0,0.04,0.0,0.05,0.035,0.02,0.0005,0.06,0.0,0.01532,0.0,115.3961181640625,80.77728271484376,0.18557704418908436,5616.303665338449,18557.704418908437,0.0,313.83405919742324,0.0,23.63918549546556,16.547429846825896,472.7837099093112,495.97253094260145,1.241100246952666,154.05223713763115,0.0,0.0,3337.118120469497,4617.139838510778,166.85590602347492,0.0,4130.527319510687,116.79913421643246,9.243134228257869,5694.2040777918755,334.4340348754729,0.0,81.52267846706863,62.06327966841941,245.07204689435582,492.79027432765065,73.68507317551206,19.711610973106026,397.05920254034424
